file_name,transcription,p_scores
000010135.WAV,T IY N AH L AH V Z EH G P L AE N T,2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 1.6 2.0 2.0 2.0 2.0 2.0 2.0
000010140.WAV,D AO R AH IH Z N AA T AH K L IY N ER,2.0 1.8 2.0 2.0 2.0 2.0 2.0 1.6 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000010145.WAV,M AA R K L IH V D IH N N UW Y AO K,2.0 2.0 1.8 1.6 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000010149.WAV,B AA B L IH V Z IH N K AY R OW N AW,2.0 1.4 2.0 2.0 2.0 2.0 1.6 2.0 2.0 2.0 1.6 1.6 1.4 2.0 2.0
000010168.WAV,B AY,2.0 2.0
000010173.WAV,T R IY Z,2.0 2.0 2.0 1.2
000030012.WAV,M AA R K IH Z G OW IH NG T UW S IY EH L IH F AH N T,2.0 2.0 1.8 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000030024.WAV,K EH T L AH V Z CH AY N AH,2.0 1.4 1.8 2.0 2.0 2.0 1.4 2.0 2.0 2.0 2.0
000030040.WAV,T UW S IH K S F AO R EY T,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0
000030047.WAV,S EH V N TH R IY F AO R T UW,2.0 2.0 2.0 2.0 1.2 2.0 1.8 2.0 2.0 2.0 2.0 2.0
000030049.WAV,T UW EY T N AY N W AH N,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000030051.WAV,W AH N Z IH AH OW W AH N Z IH AH OW,2.0 2.0 2.0 2.0 0.6 0.6 2.0 2.0 2.0 2.0 2.0 0.6 0.6 2.0
000030054.WAV,T UW F AY V N AY N N AY N,2.0 2.0 2.0 2.0 1.4 2.0 2.0 2.0 2.0 2.0 2.0
000030059.WAV,T AH M EY T OW S P R IH NG F OW T OW,1.8 2.0 2.0 1.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0
000030067.WAV,L EY L AA IH Z G UH D AE T S W IH M IH NG,2.0 1.2 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0
000030069.WAV,AE L IH S G IH V AH P B AA K S IH NG,2.0 2.0 2.0 2.0 2.0 1.6 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000030079.WAV,L EY L AA W AH N T S HH AE V S AH M S AE L AH D,2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000030080.WAV,D AH Z HH IY N OW DH AH B IH S K IH T,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0
000030097.WAV,HH IH AH IH Z T AY M Z K L AO TH,2.0 1.6 1.6 2.0 1.8 2.0 1.8 2.0 1.6 2.0 2.0 0.6 2.0
000030101.WAV,L UH K AE T B AA B Z T IY SH ER T,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0 2.0 2.0 2.0 2.0
000030116.WAV,S OW B IH L IY W EH N T IH N T UW DH AH P EH T SH AA P,2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0
000030119.WAV,S OW T IY N AH W EH N T IH N T UW DH AH W AA SH R UW M,2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.2 2.0 2.0 2.0 2.0
000030145.WAV,B IH L IY L IH V D IH N N UW Y AO K,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000030153.WAV,M AO R DH AE N DH AE T,2.0 2.0 1.8 2.0 2.0 2.0 1.8 2.0 2.0
000030154.WAV,M AY M AE P W IH L SH OW AH S,2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0 2.0 2.0 2.0
000030175.WAV,Y AH M IY,2.0 1.8 2.0 2.0
000050003.WAV,M AY K L AY K S DH AH W AY T W AH N,2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000050010.WAV,IH T S N EY M IH Z S EY,2.0 2.0 2.0 2.0 2.0 2.0 0.8 1.4 2.0 1.4
000050024.WAV,B IH L IY L AH V Z AH M EH R IH K AH,2.0 2.0 2.0 2.0 2.0 2.0 1.8 1.4 2.0 2.0 2.0 2.0 2.0 1.2 2.0
000050028.WAV,T UW T UW EY T S EH V N,2.0 1.8 2.0 1.8 2.0 2.0 2.0 2.0 1.8 2.0
000050038.WAV,F AO R F AY V F AO R S EH V N,2.0 2.0 1.8 2.0 2.0 1.8 2.0 2.0 1.8 2.0 1.8 1.8 2.0
000050040.WAV,F AY V TH R IY N AY N Z IH AH OW,2.0 2.0 1.6 1.6 2.0 1.8 2.0 2.0 2.0 2.0 1.8 1.8 2.0
000050047.WAV,S IH K S F AY V TH R IY,2.0 2.0 2.0 2.0 2.0 2.0 1.8 1.4 2.0 2.0
000050049.WAV,T UW F AY V EY T,2.0 2.0 2.0 2.0 1.4 2.0 1.8
000050055.WAV,W IY L EH S M IY T,2.0 2.0 2.0 1.6 2.0 2.0 2.0 2.0
000050078.WAV,D OW S M AY K L AY K DH AH HH AE M B ER G ER,2.0 1.6 2.0 1.6 1.4 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000050079.WAV,AE N IH W AA N T HH AE V S AH M P R IH T IY S,1.8 2.0 2.0 2.0 1.6 1.8 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000050083.WAV,K EH IY T Z G AA T S AH M G R EY,2.0 2.0 2.0 1.8 1.2 2.0 1.6 2.0 2.0 2.0 2.0 0.4 0.4 0.4
000050095.WAV,L UH K AE T JH AA N Z S W EH T ER,2.0 2.0 2.0 2.0 2.0 2.0 1.0 1.6 1.2 1.6 2.0 2.0 2.0 2.0
000050099.WAV,T IH M HH AE Z AH B Y UW T IH F L T EH L,2.0 1.8 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.2 0.8
000050100.WAV,JH IH M L AY K S Y ER B L UW SH AO R,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0 2.0 2.0 2.0 2.0 1.8
000050114.WAV,AE N IH W EH N T W AO K IH NG DH EH M P AA R K,2.0 2.0 2.0 2.0 1.6 1.6 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.4 1.4 2.0 2.0 1.8 2.0
000050118.WAV,L EY L AA K AE N S IY DH AH HH OW M T AW N,1.2 1.2 2.0 2.0 2.0 2.0 1.8 2.0 1.6 2.0 2.0 2.0 2.0 2.0 2.0 0.4 1.6
000050122.WAV,S OW T IY N AH W EH N T AA N T UW W AA SH R UW M,2.0 2.0 2.0 2.0 2.0 2.0 1.6 0.4 0.8 1.8 1.8 2.0 2.0 1.8 2.0 1.2 2.0 2.0 2.0 2.0
000050174.WAV,AO L W IH TH HH IH M,1.6 2.0 2.0 2.0 1.6 1.8 2.0 2.0
000050175.WAV,G UH D JH AA B,2.0 1.2 2.0 2.0 1.4 2.0
000060015.WAV,JH EY M IY IH Z G OW IH NG T UW S IY HH EH N,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000060020.WAV,D AO R AH IH Z K AH M F R AH M JH AH P AE N,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.4 2.0 2.0 2.0 2.0 2.0 2.0
000060029.WAV,S IH K S W AH N S IH K S Z IH R OW,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 1.6 2.0
000060031.WAV,F AY V T UW F AO R S EH V N,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000060049.WAV,Z IH R OW TH R IY F AY V,2.0 1.6 1.6 2.0 2.0 2.0 2.0 2.0 2.0 1.6
000060056.WAV,F OW N P AA R T S T IH K IH T S,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000060077.WAV,AE N EY T AH L IH T L D AO G,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000060081.WAV,D AH Z L EY L AA L AY K DH AH JH AE M,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000060082.WAV,K EH T L AY K S L AE M,2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000060083.WAV,M AA R K G AA T S AH M N UW D L Z,2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6
000060094.WAV,T AA M L AY K S DH AH OW L D S W EH T ER,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 1.6 1.6
000060102.WAV,B AA B N IY D Z N UW B UW T S,2.0 2.0 2.0 2.0 2.0 1.8 1.8 2.0 2.0 2.0 2.0 2.0 2.0
000060106.WAV,T AA M K AE N S IY DH AH M OW T ER S AY K L,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000060111.WAV,HH IY L EH F T DH AH F R UW T S T AE N D,1.6 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000060113.WAV,L EH T S G OW T UW DH AH JH IH M,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000060116.WAV,S OW M AA R K W EH N T UW DH AH P EH T SH AA P,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000060124.WAV,S OW AE L IH S W EH N T AA N T UW V IH L IH JH,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000060130.WAV,N OW DH AE T S T AH M EY T OW,2.0 2.0 1.6 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000060136.WAV,AY M N AA T AH AE K T ER,2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0
000060153.WAV,W AH T L AH V L IY K L IY N T IY TH,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8
000240010.WAV,IH T W AH Z G UH D F AO R M IY,2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000240031.WAV,W IY HH AE V K L AY M D W AH N S T EH P AH P DH AH L AE D ER,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000240060.WAV,P L AH S DH AH K IH D Z R IY AH L IY L AY K DH AH D AO G Z,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 1.6 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6
000240071.WAV,IY V N W EH N W IY L UW Z IH T Y UW ZH UW AH L IY AH V EH R IY K L OW S G EY M,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0 2.0 2.0 2.0 1.6 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000240073.WAV,M OW S T L IY DH AH AH M EH R IH K AH N K AH M Y UW N AH T IY IH N Y UH AH AH P F AA L OW Z DH AH G EY M,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0 2.0 1.6 2.0 2.0 2.0 2.0 1.8
000240099.WAV,W AH T IY W AH Z T AO K IH NG AH B AW T W AH Z S P AH R T S IH N JH EH N R AH L,2.0 1.8 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000240115.WAV,W EY T UW HH EH L P AH S AO L AW T,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0
000240116.WAV,L AH V L IY T UW M EY K Y UH AH AH K W EY N T AH N S S ER,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000240151.WAV,S AH K S EH S F L F ER S T D EY F AO R K AA L IH JH,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0 2.0 2.0 2.0 2.0 2.0
000240152.WAV,DH IH S IH Z AH P R IH T IY G UH D P L EY S T UW S T AA R T,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0 2.0 2.0 2.0 2.0
000240248.WAV,L AH V IH Z AH S T R AO NG M AE N IH N DH AH M IH D L,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000240284.WAV,S AH M B AH D IY L EH T M IY N OW W EH N IH T S OW V ER,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0
000240287.WAV,Y UW P UH T IH T AA N R AO NG,2.0 1.8 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0
000240289.WAV,K AA M P AH T IH SH N IH Z G UH D F AO R DH AH IH N D AH S T R IY,2.0 2.0 2.0 2.0 1.2 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 0.6 2.0 2.0 2.0 2.0
000240320.WAV,SH IY L UH K T AE NG K SH AH S L IY AE T DH AH HH AW S AE N D S T AA R T IH D,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000240323.WAV,DH EY M EY M EY K M IY M AO R AH N HH AE P IY DH AE N AY AH M,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.2 2.0
000240324.WAV,SH IY W UH D B IY S AA R IY F AO R HH IH Z D EH TH,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0 2.0 2.0
000240329.WAV,M AY P IY P L W IH L B R IH NG Y UW T UW DH AH SH IH P,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0 1.8 2.0 2.0 2.0 2.0 2.0
000240350.WAV,IH T W AH Z AH P R UW F AH V HH IH Z F R EH N D SH IH P,2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 0.4 2.0 2.0 1.8 2.0 2.0 1.6 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000240352.WAV,AY F AW N D AY HH AE D N OW N IY D T UW TH IH NG K,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000260001.WAV,L EY L AA L AH V B R AW N,2.0 0.4 2.0 2.0 2.0 2.0 1.0 2.0 2.0 1.8 2.0
000260011.WAV,AE N D IH K AE N S IY DH AH HH EH N,1.8 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0
000260015.WAV,JH AH N IH Z G OW IH NG T UW S IY K AW,2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000260032.WAV,W AH N W AH N Z IH ER OW EY T,2.0 1.8 2.0 2.0 1.8 2.0 2.0 1.4 1.4 2.0 2.0 2.0
000260033.WAV,TH R IY W AH N S EH V N N AY N,1.8 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000260039.WAV,EY T Z IH ER OW S IH K S T UW,2.0 2.0 2.0 1.6 1.6 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000260048.WAV,TH R IY Z IH ER OW EY T S EH V N,1.8 2.0 2.0 2.0 1.4 1.4 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000260050.WAV,Z IH ER OW EY T TH R IY W AH N,2.0 2.0 1.4 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0
000260052.WAV,S IH K S EY T S IH K S S EH V N,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000260069.WAV,T EH D IY G IH V Z AH P SH UW T IH NG,2.0 0.2 2.0 2.0 2.0 2.0 2.0 1.6 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000260075.WAV,HH IY L AY K S R EY S IH NG,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000260091.WAV,D AO R AH L AY K S Y UH AH R EH D JH IY N Z,2.0 2.0 2.0 1.4 2.0 2.0 2.0 1.6 2.0 1.8 1.8 2.0 2.0 2.0 2.0 2.0 2.0 1.6
000260095.WAV,B AH B L AH V Z DH AH N Y UW K L AH TH,2.0 1.8 2.0 2.0 2.0 2.0 1.6 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.0 2.0
000260096.WAV,JH AH N N IY D Z N Y UW T IY SH ER T,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000260112.WAV,DH EH N L IH L IY W AO K S T UW M Y UW Z IH K R UH M,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000260115.WAV,DH EH N T IH M W AO K S T UW DH EH M P AA R K,1.6 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.2 2.0 2.0 2.0 2.0 2.0
000260121.WAV,DH EH N M AE N D IY W AO K S T UW R EH S T R UH M,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000260126.WAV,D UH Y UW W AA N T DH AH P IY,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000260133.WAV,AE N D IH G AH T DH AH M AH SH R UH M,2.0 2.0 2.0 2.0 2.0 2.0 1.8 1.6 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000260166.WAV,N AW F AO R DH AH P AA R T IY,2.0 2.0 2.0 2.0 2.0 1.6 2.0 2.0 2.0 2.0 2.0 2.0
000360013.WAV,IH T S JH AH S T S OW HH AA R D T UW P IH K CH ER,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000360034.WAV,W IY S P IY K AW T W EH N W IY F IY L W IY SH UH D S P IY K AW T,2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0
000360036.WAV,AY K UH D D UH W IH DH AH B R EY K,2.0 2.0 2.0 2.0 2.0 1.6 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000360132.WAV,IH T IH Z AO L W EY Z S OW N AY S T UW S IY Y UW,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8
000360133.WAV,AH N F AO CH AH N AH T L IY N OW W AH N IH Z AH L AW T UW S EY,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 1.8 2.0 2.0 2.0 2.0
000360161.WAV,AO L M OW S T T AY M F AO AH HH EH R K AH T,2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 1.8 2.0 2.0 2.0
000360190.WAV,S OW Y UW W AA N T T UW B IY M AO P R AH D AH K T IH V,2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0
000360210.WAV,S T AA R T IH NG K AE N N AH T B IY B EH T ER DH AE N DH IH S,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000360223.WAV,AY K IY P IH T T UW B IY AH M Y UW Z D B AY DH AH S T Y UW P IH D AH T IY,1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 0.8 1.6 1.6 0.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000360241.WAV,AA F T AH DH AE T AY B IY R EH D IY T UW G OW,2.0 2.0 2.0 2.0 1.6 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8
000360264.WAV,AY TH AE NG K Y UW F AO Y AO S IH M P AH TH IY B IH K AH Z IH T K AW N T S,2.0 1.4 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 1.6 1.6 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 1.8 2.0 2.0 2.0
000360283.WAV,AH F DH AH CH EY N AY B EH T,2.0 2.0 1.4 2.0 2.0 1.8 2.0 2.0 2.0 1.0 2.0
000360313.WAV,HH IY N AH D IH D HH IH Z HH EH D AE N D S M AY L D,2.0 2.0 2.0 0.6 2.0 2.0 2.0 2.0 2.0 1.6 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0 2.0
000360314.WAV,B AH T T EH L M IY DH AH T R UW TH,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000360332.WAV,DH AH F ER S T K W EH S CH AH N W AH Z AE N AH B V IH AH S W AH N,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 1.8 2.0 2.0 2.0 2.0 1.2 1.2 1.2 2.0 2.0 2.0 2.0
000360334.WAV,DH AH SH AH K W AH Z T UW M AH CH F AO HH IH M,2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000360339.WAV,HH IY N OW Z HH IY Z AH B AW T T UW G EH T IH N T UW F AY T,2.0 2.0 2.0 2.0 1.6 2.0 2.0 1.6 2.0 2.0 1.8 2.0 2.0 2.0 1.6 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
000360343.WAV,HH IY W AH Z AO L W EY Z R EH D IY T UW D UH EH N IY TH IH NG W AH T EH V ER,2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0 2.0 2.0 1.8 2.0 2.0 1.4 2.0
000360360.WAV,DH AH L AH NG AE N D DH AH SH AO T AH V IH T IH Z DH IH S,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.2 1.2 2.0 1.8 2.0 2.0 1.2 2.0 2.0 2.0 1.4 2.0 2.0 2.0
000360378.WAV,Y UW W AH N T T UW B IY L AH V,2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 1.8
